l0 kb T theta_s kappa lp Tr lp_se
1.0 4.0 1.5 0.4510268117962624 600.0 1.115424727120904 0.375 0.03996692486067893
1.0 4.0 3.0 0.4510268117962624 600.0 0.6805000545007774 0.75 0.0674902771112664
1.0 10.0 0.01 0.4510268117962624 600.0 19.449858746285063 0.001 0.02861756628356458
1.0 10.0 0.02 0.4510268117962624 600.0 19.425672103317254 0.002 0.037658263546456495
1.0 10.0 0.03 0.4510268117962624 600.0 19.51663679388536 0.0029999999999999996 0.04015969580239756
1.0 10.0 0.04 0.4510268117962624 600.0 19.499714329599602 0.004 0.018207123828566676
1.0 10.0 0.05 0.4510268117962624 600.0 19.491434025911122 0.005 0.018960833685064845
1.0 10.0 0.075 0.4510268117962624 600.0 19.50191495707593 0.0075 0.03500669724234473
1.0 10.0 0.1 0.4510268117962624 600.0 19.53959838733223 0.01 0.025390763148663245
1.0 10.0 0.15 0.4510268117962624 600.0 19.468515973455983 0.015 0.023919444777916906
1.0 10.0 0.2 0.4510268117962624 600.0 19.498824797231357 0.02 0.02641386688449224
1.0 10.0 0.25 0.4510268117962624 600.0 19.463402138606632 0.024999999999999998 0.02847768944602941
1.0 10.0 0.3 0.4510268117962624 600.0 19.545642323304374 0.03 0.01401731354682773
1.0 10.0 0.4 0.4510268117962624 600.0 19.51690341332613 0.04 0.04778825239930566
1.0 10.0 0.6 0.4510268117962624 600.0 19.48562717783963 0.06 0.02847237206763641
1.0 10.0 0.75 0.4510268117962624 600.0 19.475024223797814 0.075 0.0435235434378423
1.0 10.0 1.0 0.4510268117962624 600.0 19.215884083077302 0.09999999999999999 0.043298606909744554
1.0 10.0 1.5 0.4510268117962624 600.0 13.08471747880436 0.15 0.028012454852233724
1.0 10.0 3.0 0.4510268117962624 600.0 1.5758855958946658 0.3 0.025381826932734084
1.0 20.0 0.01 0.4510268117962624 600.0 19.523004009814834 0.0005 0.04925969265442756
1.0 20.0 0.02 0.4510268117962624 600.0 19.531663837946258 0.001 0.04798635021458165
1.0 20.0 0.03 0.4510268117962624 600.0 19.47960188004535 0.0014999999999999998 0.038942412659530024
1.0 20.0 0.04 0.4510268117962624 600.0 19.463468035763942 0.002 0.028362953722859775
1.0 20.0 0.05 0.4510268117962624 600.0 19.57430150769531 0.0025 0.052087176256281835
1.0 20.0 0.075 0.4510268117962624 600.0 19.461550621087163 0.00375 0.028258719665823193
1.0 20.0 0.1 0.4510268117962624 600.0 19.43060129700115 0.005 0.05175307764142383
1.0 20.0 0.15 0.4510268117962624 600.0 19.50577988956025 0.0075 0.046576301316242484
1.0 20.0 0.2 0.4510268117962624 600.0 19.478774797329503 0.01 0.02969585090617153
1.0 20.0 0.25 0.4510268117962624 600.0 19.542026577633177 0.012499999999999999 0.04010425119569375
1.0 20.0 0.3 0.4510268117962624 600.0 19.480296954665658 0.015 0.035604744236833394
1.0 20.0 0.4 0.4510268117962624 600.0 19.491033435123907 0.02 0.032520387207407436
1.0 20.0 0.6 0.4510268117962624 600.0 19.46053209290731 0.03 0.0323670974049507
1.0 20.0 0.75 0.4510268117962624 600.0 19.590672562400822 0.0375 0.0423586092292468
1.0 20.0 1.0 0.4510268117962624 600.0 19.513296522739033 0.049999999999999996 0.04708421571740989
1.0 20.0 1.5 0.4510268117962624 600.0 19.452995379561983 0.075 0.034566649690649195
1.0 20.0 3.0 0.4510268117962624 600.0 13.034107182049905 0.15 0.03191164427192209
