MCSweeps totalmoves Epair avg_Epair Ebond avg_Ebond Eangle avg_Eangle Etot avg_Etot time
7920 554470000 0 0 0 0 -694 -700.61392405063293 -710 -700.61392405063293 34868.960499904002 
7930 555170000 0 0 0 0 -694 -700.61392405063293 -698 -700.61392405063293 34911.431401431 
7940 555870000 0 0 0 0 -694 -700.61392405063293 -707 -700.61392405063293 34953.907651173999 
7950 556570000 0 0 0 0 -694 -700.61392405063293 -702 -700.61392405063293 34996.288314627003 
7960 557270000 0 0 0 0 -702 -700.62264150943395 -706 -700.62264150943395 35039.013593206997 
7970 557970000 0 0 0 0 -702 -700.62264150943395 -700 -700.62264150943395 35081.474006087003 
7980 558670000 0 0 0 0 -702 -700.62264150943395 -708 -700.62264150943395 35124.166840438003 
7990 559370000 0 0 0 0 -702 -700.62264150943395 -708 -700.62264150943395 35166.916307906999 
8000 560070000 0 0 0 0 -702 -700.62264150943395 -704 -700.62264150943395 35209.620849960003 
8010 560770000 0 0 0 0 -704 -700.64374999999995 -706 -700.64374999999995 35252.368308415003 
8020 561470000 0 0 0 0 -704 -700.64374999999995 -704 -700.64374999999995 35295.109010895998 
8030 562170000 0 0 0 0 -704 -700.64374999999995 -709 -700.64374999999995 35337.896277489002 
8040 562870000 0 0 0 0 -704 -700.64374999999995 -692 -700.64374999999995 35380.520330810003 
8050 563570000 0 0 0 0 -704 -700.64374999999995 -710 -700.64374999999995 35423.060773309997 
8060 564270000 0 0 0 0 -710 -700.7018633540373 -704 -700.7018633540373 35465.960438848 
8070 564970000 0 0 0 0 -710 -700.7018633540373 -703 -700.7018633540373 35508.661689241999 
8080 565670000 0 0 0 0 -710 -700.7018633540373 -698 -700.7018633540373 35550.937767648 
8090 566370000 0 0 0 0 -710 -700.7018633540373 -707 -700.7018633540373 35593.192430857001 
8100 567070000 0 0 0 0 -710 -700.7018633540373 -704 -700.7018633540373 35635.809831735998 
8110 567770000 0 0 0 0 -704 -700.72222222222217 -702 -700.72222222222217 35678.383608595002 
8120 568470000 0 0 0 0 -704 -700.72222222222217 -705 -700.72222222222217 35720.772505772999 
8130 569170000 0 0 0 0 -704 -700.72222222222217 -705 -700.72222222222217 35763.371484151001 
8140 569870000 0 0 0 0 -704 -700.72222222222217 -706 -700.72222222222217 35806.212460820003 
8150 570570000 0 0 0 0 -704 -700.72222222222217 -706 -700.72222222222217 35848.739835713997 
8160 571270000 0 0 0 0 -706 -700.75460122699383 -708 -700.75460122699383 35891.413679015997 
8170 571970000 0 0 0 0 -706 -700.75460122699383 -695 -700.75460122699383 35933.917886864998 
8180 572670000 0 0 0 0 -706 -700.75460122699383 -693 -700.75460122699383 35976.228514998998 
8190 573370000 0 0 0 0 -706 -700.75460122699383 -695 -700.75460122699383 36018.884508907002 
8200 574070000 0 0 0 0 -706 -700.75460122699383 -704 -700.75460122699383 36061.505561389 
8210 574770000 0 0 0 0 -704 -700.77439024390242 -703 -700.77439024390242 36104.317611872997 
8220 575470000 0 0 0 0 -704 -700.77439024390242 -705 -700.77439024390242 36147.076341366002 
8230 576170000 0 0 0 0 -704 -700.77439024390242 -709 -700.77439024390242 36189.688172344999 
8240 576870000 0 0 0 0 -704 -700.77439024390242 -710 -700.77439024390242 36232.303551217999 
8250 577570000 0 0 0 0 -704 -700.77439024390242 -713 -700.77439024390242 36275.260135242002 
8260 578270000 0 0 0 0 -713 -700.84848484848487 -701 -700.84848484848487 36318.106182226998 
8270 578970000 0 0 0 0 -713 -700.84848484848487 -707 -700.84848484848487 36360.818256840997 
8280 579670000 0 0 0 0 -713 -700.84848484848487 -703 -700.84848484848487 36403.480908705998 
8290 580370000 0 0 0 0 -713 -700.84848484848487 -705 -700.84848484848487 36446.421686745001 
8300 581070000 0 0 0 0 -713 -700.84848484848487 -715 -700.84848484848487 36489.163626383001 
8310 581770000 0 0 0 0 -715 -700.93373493975901 -707 -700.93373493975901 36532.108288577001 
8320 582470000 0 0 0 0 -715 -700.93373493975901 -707 -700.93373493975901 36574.848550900999 
8330 583170000 0 0 0 0 -715 -700.93373493975901 -707 -700.93373493975901 36617.468352677999 
8340 583870000 0 0 0 0 -715 -700.93373493975901 -708 -700.93373493975901 36660.136580753002 
8350 584570000 0 0 0 0 -715 -700.93373493975901 -709 -700.93373493975901 36702.630145679002 
8360 585270000 0 0 0 0 -709 -700.98203592814366 -705 -700.98203592814366 36745.305555526997 
8370 585970000 0 0 0 0 -709 -700.98203592814366 -702 -700.98203592814366 36787.921079373002 
8380 586670000 0 0 0 0 -709 -700.98203592814366 -703 -700.98203592814366 36830.644697463002 
8390 587370000 0 0 0 0 -709 -700.98203592814366 -711 -700.98203592814366 36873.530437168003 
8400 588070000 0 0 0 0 -709 -700.98203592814366 -707 -700.98203592814366 36916.120479999998 
8410 588770000 0 0 0 0 -707 -701.01785714285711 -701 -701.01785714285711 36958.892726482998 
8420 589470000 0 0 0 0 -707 -701.01785714285711 -705 -701.01785714285711 37001.492381967997 
8430 590170000 0 0 0 0 -707 -701.01785714285711 -708 -701.01785714285711 37044.068191658997 
8440 590870000 0 0 0 0 -707 -701.01785714285711 -703 -701.01785714285711 37086.920287276997 
8450 591570000 0 0 0 0 -707 -701.01785714285711 -711 -701.01785714285711 37129.721719114001 
8460 592270000 0 0 0 0 -711 -701.07692307692309 -703 -701.07692307692309 37172.578337243998 
