l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 4.0 0.3 0.9 600.0 0.4510268117962624 12.809696191741516 0.075 0.025751891845557373
1.0 4.0 0.4 0.9 600.0 0.4510268117962624 9.519495915359453 0.09999999999999999 0.01834897579853631
1.0 4.0 0.6 0.9 600.0 0.4510268117962624 6.148581122573784 0.15 0.013036953641892028
1.0 4.0 1.0 0.9 600.0 0.4510268117962624 3.4684287578007202 0.25 0.015274584161154087
1.0 10.0 0.005 0.9 600.0 0.4510268117962624 2002.3000130822977 0.0005 4.662424657305279
1.0 10.0 0.01 0.9 600.0 0.4510268117962624 996.216202294889 0.001 1.6547117445453887
1.0 10.0 0.02 0.9 600.0 0.4510268117962624 499.3267284867243 0.002 0.41641742953464306
1.0 10.0 0.03 0.9 600.0 0.4510268117962624 332.90744161120347 0.0029999999999999996 0.37793763585616463
1.0 10.0 0.04 0.9 600.0 0.4510268117962624 249.91407053345202 0.004 0.7863412541080824
1.0 10.0 0.05 0.9 600.0 0.4510268117962624 199.65557021703233 0.005 0.44774205910021214
1.0 10.0 0.075 0.9 600.0 0.4510268117962624 133.3258100940877 0.0075 0.3107813306860403
1.0 10.0 0.1 0.9 600.0 0.4510268117962624 99.48433537118646 0.01 0.27459770395773486
1.0 10.0 0.15 0.9 600.0 0.4510268117962624 66.15798510461006 0.015 0.1464134376505566
1.0 10.0 0.2 0.9 600.0 0.4510268117962624 49.59850691685571 0.02 0.09305962884208525
1.0 10.0 0.25 0.9 600.0 0.4510268117962624 39.4536925692597 0.024999999999999998 0.12674237427633742
1.0 10.0 0.3 0.9 600.0 0.4510268117962624 32.74230182815886 0.03 0.048191517599830994
1.0 10.0 0.4 0.9 600.0 0.4510268117962624 24.49114536900144 0.04 0.04084088912157493
1.0 10.0 0.6 0.9 600.0 0.4510268117962624 16.13918522627266 0.06 0.03614382101756216
1.0 10.0 1.0 0.9 600.0 0.4510268117962624 9.529837917355437 0.09999999999999999 0.014599242782153013
1.0 11.0 0.005 0.9 600.0 0.4510268117962624 2200.9225220133007 0.0004545454545454545 4.005583341009613
1.0 11.0 0.01 0.9 600.0 0.4510268117962624 1101.7991009792672 0.000909090909090909 1.2531485282152623
1.0 11.0 0.02 0.9 600.0 0.4510268117962624 549.4427642116542 0.001818181818181818 0.7747049336818254
1.0 11.0 0.03 0.9 600.0 0.4510268117962624 366.338177063089 0.002727272727272727 0.8659498278366571
1.0 11.0 0.04 0.9 600.0 0.4510268117962624 274.61889531777115 0.003636363636363636 0.43639157290894837
1.0 11.0 0.05 0.9 600.0 0.4510268117962624 219.84779279540047 0.004545454545454546 0.2743833840887044
1.0 11.0 0.075 0.9 600.0 0.4510268117962624 146.10365013470945 0.006818181818181819 0.41347013761216184
1.0 11.0 0.1 0.9 600.0 0.4510268117962624 109.4095918803332 0.009090909090909092 0.26185620984621094
1.0 11.0 0.15 0.9 600.0 0.4510268117962624 72.70315778947518 0.013636363636363637 0.08922624788438745
1.0 11.0 0.2 0.9 600.0 0.4510268117962624 54.45899937437289 0.018181818181818184 0.17623564337154207
1.0 11.0 0.25 0.9 600.0 0.4510268117962624 43.340290468492974 0.02272727272727273 0.11125825123155264
1.0 11.0 0.3 0.9 600.0 0.4510268117962624 36.14196721924242 0.027272727272727275 0.050913461127900746
1.0 11.0 0.4 0.9 600.0 0.4510268117962624 26.932193441435032 0.03636363636363637 0.05057637706812246
1.0 11.0 0.6 0.9 600.0 0.4510268117962624 17.849625542794143 0.05454545454545455 0.03757285830322818
1.0 11.0 1.0 0.9 600.0 0.4510268117962624 10.491904681237623 0.09090909090909093 0.033517518837089866
1.0 12.0 0.005 0.9 600.0 0.4510268117962624 2400.172621049758 0.0004166666666666667 6.738770596544279
1.0 12.0 0.01 0.9 600.0 0.4510268117962624 1199.0542636454722 0.0008333333333333334 2.474279320172044
1.0 12.0 0.02 0.9 600.0 0.4510268117962624 601.7553218260673 0.0016666666666666668 0.9024207098060152
1.0 12.0 0.03 0.9 600.0 0.4510268117962624 399.90231194416117 0.0025 0.6300362009915349
1.0 12.0 0.04 0.9 600.0 0.4510268117962624 299.94621276023366 0.0033333333333333335 0.8842674812737645
1.0 12.0 0.05 0.9 600.0 0.4510268117962624 239.40458000067153 0.004166666666666667 0.5168858591185785
1.0 12.0 0.075 0.9 600.0 0.4510268117962624 159.30113067515336 0.0062499999999999995 0.35320458217957895
1.0 12.0 0.1 0.9 600.0 0.4510268117962624 119.30308311431423 0.008333333333333333 0.16433814319593212
1.0 12.0 0.15 0.9 600.0 0.4510268117962624 79.1733077280921 0.012499999999999999 0.20018656373111457
1.0 12.0 0.2 0.9 600.0 0.4510268117962624 59.5901791984749 0.016666666666666666 0.14677802979676424
1.0 12.0 0.25 0.9 600.0 0.4510268117962624 47.45634277260557 0.020833333333333332 0.0817310128324531
1.0 12.0 0.3 0.9 600.0 0.4510268117962624 39.37701907254018 0.024999999999999998 0.09202862593931674
1.0 12.0 0.4 0.9 600.0 0.4510268117962624 29.507341164972775 0.03333333333333333 0.0977235179829988
1.0 12.0 0.6 0.9 600.0 0.4510268117962624 19.516641746813946 0.049999999999999996 0.040302871908670004
1.0 12.0 1.0 0.9 600.0 0.4510268117962624 11.503195270552759 0.08333333333333333 0.029709513529927175
1.0 13.0 0.005 0.9 600.0 0.4510268117962624 2597.2773566655155 0.00038461538461538467 3.790508863255362
1.0 13.0 0.01 0.9 600.0 0.4510268117962624 1296.5737379766038 0.0007692307692307693 1.7785230163712935
1.0 13.0 0.02 0.9 600.0 0.4510268117962624 651.2968648417306 0.0015384615384615387 1.545641865405857
1.0 13.0 0.03 0.9 600.0 0.4510268117962624 432.89009028677435 0.0023076923076923075 1.039497733208985
1.0 13.0 0.04 0.9 600.0 0.4510268117962624 324.95844907055505 0.0030769230769230774 0.7362211462773218
1.0 13.0 0.05 0.9 600.0 0.4510268117962624 258.86448546372725 0.0038461538461538464 0.5615196032182841
1.0 13.0 0.075 0.9 600.0 0.4510268117962624 173.63972732218232 0.005769230769230769 0.320153829125628
1.0 13.0 0.1 0.9 600.0 0.4510268117962624 129.3637410686892 0.007692307692307693 0.286756097982344
1.0 13.0 0.15 0.9 600.0 0.4510268117962624 86.01304726391561 0.011538461538461537 0.19476185592709783
1.0 13.0 0.2 0.9 600.0 0.4510268117962624 64.5024323283059 0.015384615384615385 0.17196877557265774
1.0 13.0 0.25 0.9 600.0 0.4510268117962624 51.40585074537007 0.019230769230769232 0.1232000214155974
1.0 13.0 0.3 0.9 600.0 0.4510268117962624 42.6996327578376 0.023076923076923075 0.07432635138173255
1.0 13.0 0.4 0.9 600.0 0.4510268117962624 31.97364807412974 0.03076923076923077 0.06523055045474725
1.0 13.0 0.6 0.9 600.0 0.4510268117962624 21.134562372590317 0.04615384615384615 0.0378129912082613
1.0 13.0 1.0 0.9 600.0 0.4510268117962624 12.462510783467199 0.07692307692307693 0.023647869064503148
1.0 15.0 0.005 0.9 600.0 0.4510268117962624 2999.0579199981034 0.0003333333333333334 3.2694686819760963
1.0 15.0 0.01 0.9 600.0 0.4510268117962624 1499.5979479121584 0.0006666666666666668 2.235689377339657
1.0 15.0 0.02 0.9 600.0 0.4510268117962624 748.0784177968638 0.0013333333333333335 1.630800785035523
1.0 15.0 0.03 0.9 600.0 0.4510268117962624 500.3837631560733 0.002 0.9627775271406451
1.0 15.0 0.04 0.9 600.0 0.4510268117962624 373.7675046326553 0.002666666666666667 0.5626950140599954
1.0 15.0 0.05 0.9 600.0 0.4510268117962624 300.1183508370444 0.0033333333333333335 0.3580735322823532
1.0 15.0 0.075 0.9 600.0 0.4510268117962624 199.22534967192763 0.005 0.332985234808572
1.0 15.0 0.1 0.9 600.0 0.4510268117962624 149.79934384745525 0.006666666666666667 0.4201865873264897
1.0 15.0 0.15 0.9 600.0 0.4510268117962624 99.34590946185435 0.01 0.2828473371749689
1.0 15.0 0.2 0.9 600.0 0.4510268117962624 74.45041293021092 0.013333333333333334 0.14198292444140279
1.0 15.0 0.25 0.9 600.0 0.4510268117962624 59.3569097905335 0.016666666666666666 0.1588936768067953
1.0 15.0 0.3 0.9 600.0 0.4510268117962624 49.45015155891425 0.02 0.05754248148044523
1.0 15.0 0.4 0.9 600.0 0.4510268117962624 36.89937898766074 0.02666666666666667 0.05294782406569502
1.0 15.0 0.6 0.9 600.0 0.4510268117962624 24.498155875322638 0.04 0.03894641963554077
1.0 15.0 1.0 0.9 600.0 0.4510268117962624 14.52970928710743 0.06666666666666667 0.04943561266403384
1.0 20.0 0.005 0.9 600.0 0.4510268117962624 4001.5894204690558 0.00025 7.147520515260353
1.0 20.0 0.01 0.9 600.0 0.4510268117962624 1998.6582569461948 0.0005 2.15563986648598
1.0 20.0 0.02 0.9 600.0 0.4510268117962624 999.2566322181319 0.001 1.664519960483251
1.0 20.0 0.03 0.9 600.0 0.4510268117962624 667.5796746631188 0.0014999999999999998 0.9533040222263698
1.0 20.0 0.04 0.9 600.0 0.4510268117962624 499.6970970546816 0.002 0.44181197415115014
1.0 20.0 0.05 0.9 600.0 0.4510268117962624 398.9108991770962 0.0025 1.1520098724900436
1.0 20.0 0.075 0.9 600.0 0.4510268117962624 266.2020581174139 0.00375 0.44073840891196725
1.0 20.0 0.1 0.9 600.0 0.4510268117962624 199.57764282848774 0.005 0.2871389480530353
1.0 20.0 0.15 0.9 600.0 0.4510268117962624 132.91701849586414 0.0075 0.45066633720225
1.0 20.0 0.2 0.9 600.0 0.4510268117962624 99.24883185906455 0.01 0.16964268828106496
1.0 20.0 0.25 0.9 600.0 0.4510268117962624 79.769297418926 0.012499999999999999 0.09774126852116215
1.0 20.0 0.3 0.9 600.0 0.4510268117962624 66.21054223638728 0.015 0.11246282220543381
1.0 20.0 0.4 0.9 600.0 0.4510268117962624 49.46972115907756 0.02 0.14753422006111747
1.0 20.0 0.6 0.9 600.0 0.4510268117962624 32.91118564065404 0.03 0.0773836209822886
1.0 20.0 1.0 0.9 600.0 0.4510268117962624 19.50391079954726 0.049999999999999996 0.021641796973576925
1.0 30.0 0.005 0.9 600.0 0.4510268117962624 5979.099610182799 0.0001666666666666667 9.829254239733237
1.0 30.0 0.01 0.9 600.0 0.4510268117962624 3002.277858519932 0.0003333333333333334 4.817431714933675
1.0 30.0 0.02 0.9 600.0 0.4510268117962624 1501.228199439099 0.0006666666666666668 1.6592217835429033
1.0 30.0 0.03 0.9 600.0 0.4510268117962624 998.3469456461103 0.001 1.840175346863405
1.0 30.0 0.04 0.9 600.0 0.4510268117962624 746.2920714132524 0.0013333333333333335 0.8193486906892605
1.0 30.0 0.05 0.9 600.0 0.4510268117962624 599.2267824735578 0.0016666666666666668 0.47360334057452674
1.0 30.0 0.075 0.9 600.0 0.4510268117962624 399.33479508936256 0.0025 0.8106908096951848
1.0 30.0 0.1 0.9 600.0 0.4510268117962624 299.40923742853676 0.0033333333333333335 0.3503951780484476
1.0 30.0 0.15 0.9 600.0 0.4510268117962624 199.05768250722008 0.005 0.4149308432556343
1.0 30.0 0.2 0.9 600.0 0.4510268117962624 148.91688577308364 0.006666666666666667 0.2998747924161331
1.0 30.0 0.25 0.9 600.0 0.4510268117962624 119.75008373324243 0.008333333333333333 0.19711351425094664
1.0 30.0 0.3 0.9 600.0 0.4510268117962624 99.59003839999205 0.01 0.1904549697088093
1.0 30.0 0.4 0.9 600.0 0.4510268117962624 74.35390262596219 0.013333333333333334 0.08120120061936907
1.0 30.0 0.6 0.9 600.0 0.4510268117962624 49.405743053803384 0.02 0.10084470246920943
1.0 30.0 1.0 0.9 600.0 0.4510268117962624 29.492357795111015 0.03333333333333333 0.07650918205811973
1.0 50.0 0.005 0.9 600.0 0.4510268117962624 9955.0581134994 0.00010000000000000002 16.953577813903603
1.0 50.0 0.01 0.9 600.0 0.4510268117962624 4993.311939043369 0.00020000000000000004 6.729170583404159
1.0 50.0 0.02 0.9 600.0 0.4510268117962624 2499.1588091067133 0.0004000000000000001 3.693627795932045
1.0 50.0 0.03 0.9 600.0 0.4510268117962624 1665.772535106605 0.0006 2.2596134808745334
1.0 50.0 0.04 0.9 600.0 0.4510268117962624 1247.090058771828 0.0008000000000000001 1.5589878402496506
1.0 50.0 0.05 0.9 600.0 0.4510268117962624 1000.1921035307322 0.001 1.201883816225391
1.0 50.0 0.075 0.9 600.0 0.4510268117962624 666.4590448035425 0.0014999999999999998 0.6259227791548031
1.0 50.0 0.1 0.9 600.0 0.4510268117962624 498.90851540651454 0.002 0.7207055271070067
1.0 50.0 0.15 0.9 600.0 0.4510268117962624 331.37607416013884 0.0029999999999999996 0.6096047614241817
1.0 50.0 0.2 0.9 600.0 0.4510268117962624 249.84023842886353 0.004 0.25029242057421086
1.0 50.0 0.25 0.9 600.0 0.4510268117962624 199.42568401761739 0.005 0.3653754365723774
1.0 50.0 0.3 0.9 600.0 0.4510268117962624 166.41993259336715 0.005999999999999999 0.3321056715127188
1.0 50.0 0.4 0.9 600.0 0.4510268117962624 125.10010663900512 0.008 0.25584110063204984
1.0 50.0 0.6 0.9 600.0 0.4510268117962624 83.06024638506162 0.011999999999999999 0.16798293542526016
1.0 50.0 1.0 0.9 600.0 0.4510268117962624 49.479556854815584 0.02 0.1321545252398316
